Indiv,circ10504,circ1057,circ12095,circ12207,circ12297,circ12861,circ13522,circ13670,circ14091,circ14192,circ14478,circ14544,circ15905,circ16286,circ16822,circ16827,circ17231,circ17403,circ17406,circ17411,circ17606,circ17709,circ18268,circ18608,circ18795,circ19323,circ196,circ20012,circ202,circ20464,circ206,circ2066,circ20873,circ21294,circ21473,circ217,circ22417,circ22526,circ22965,circ246,circ25503,circ26539,circ2748,circ27587,circ3279,circ3518,circ364,circ3752,circ4215,circ4735,circ5511,circ5522,circ5918,circ5960,circ5999,circ6066,circ6877,circ7177,circ7852,circ8487
AT17_TC,0.0269,0.0718,0.0179,0.009,0.0628,0.0179,0.0179,0.009,0.0628,0.0269,0.0269,0.0449,0,0.0628,0.0269,0.0179,0.009,0,0.009,0.0269,0.009,0.0359,0.0269,0.009,0,0.0179,0.0179,0.0359,0,0.0628,0.009,0.009,0,0.0269,0.0179,0,0,0.0269,0,0.0807,0.0538,0.0359,0.009,0.009,0.009,0.0449,0.009,0,0.0179,0.0179,0.009,0.0718,0,0,0,0.0359,0.0179,0.0179,0,0.0179
AT18_FC,0.018,0.0722,0.0902,0.009,0.0361,0.009,0.0361,0,0.0361,0.0271,0.018,0.0632,0.1263,0.018,0.009,0.0271,0.018,0.0361,0.0271,0,0.009,0.0271,0.0632,0.009,0,0.0271,0,0.0361,0.1083,0,0.009,0.018,0,0,0.0902,0.0271,0.009,0.018,0.0271,0.397,0,0.1173,0.0361,0.0271,0.009,0.4692,0,0,0.0271,0.0992,0.0271,0.2526,0.0451,0.018,0.009,0.0271,0.0271,0.0451,0,0.009
AT18_TC,0,0.0522,0.0627,0.0209,0.0209,0,0.0104,0.0313,0.0627,0,0.0104,0.0522,0.0836,0.0627,0.0104,0.0418,0,0.0104,0.0209,0.0104,0.0313,0.0313,0.0522,0.0104,0,0,0.0104,0.0313,0.0627,0.0104,0.0209,0.0104,0.303,0.0313,0.094,0,0.0104,0,0.0209,0.2508,0,0.1881,0.0209,0.0209,0,0.3553,0,0.0104,0.0418,0.0418,0.0313,0.1463,0.0209,0.0104,0.0104,0.0731,0,0.0104,0,0.0104
AT19_TC,0.0339,0.0904,0.0791,0.0452,0.1469,0,0.0226,0.0339,0.0678,0.0452,0.0113,0.0565,0.1808,0.0904,0.0226,0.0113,0.0226,0.0339,0.0452,0.0113,0.0226,0.0565,0.0113,0.0226,0.0113,0.0565,0.0113,0.0452,0.0113,0.0452,0.0452,0,0.1582,0.0226,0,0.0226,0.0226,0,0,0.1017,0.1356,0.0452,0.0113,0,0.0113,0.113,0.0565,0.0226,0,0.0113,0.0226,0.113,0.0226,0,0,0.0339,0.0339,0.0226,0.0339,0.0113
AT21_FC,0.0132,0.0658,0.0921,0.0263,0.0526,0,0.0395,0.0132,0.0658,0.0395,0.0263,0.0658,0.1447,0.0132,0.0263,0.0263,0,0.0395,0.0658,0.0263,0.0132,0.0132,0.0789,0.0132,0.0263,0,0.0132,0.0395,0.0658,0.0263,0.0395,0.0395,0,0,0,0,0,0.0526,0.0263,0.5657,0,0.0789,0.0263,0,0.0132,0.4999,0,0,0.1052,0.1447,0,0.3421,0.0132,0,0.0132,0,0.0132,0.0132,0.0132,0.0132
AT21_TC,0.0225,0.0676,0.0225,0,0.1578,0.0225,0,0,0,0,0.0451,0.0225,0.1578,0,0.0451,0.0225,0,0.0451,0,0.0225,0,0.0225,0,0,0,0.0676,0.0451,0.0902,0.0225,0,0.0451,0,0.1127,0,0.0225,0,0.0451,0,0,0.248,0,0.0225,0,0,0,0.0451,0.0451,0,0,0.0451,0,0.2706,0,0,0.0225,0,0,0,0.0676,0
AT23_FC,0.0587,0.0979,0,0,0.1958,0,0.0196,0,0.1566,0.0587,0,0.0587,0.137,0.0783,0.0783,0,0.0196,0,0.0392,0.0196,0.0392,0,0,0,0.0196,0.0392,0.0196,0.0783,0,0.0392,0,0,0.1175,0,0.0783,0,0.0196,0.0196,0,0.137,0,0.0196,0.0392,0,0,0.0392,0,0.0196,0.0196,0,0.0196,0.0979,0.0196,0,0,0,0.0196,0,0.0783,0
AT23_TC,0,0.0391,0.0782,0.0977,0.1955,0.0195,0.0195,0.0195,0.0586,0.1759,0,0.0977,0.1759,0.1173,0,0.0195,0.0195,0.0195,0.0391,0.0195,0,0.0586,0,0,0,0.0195,0,0,0,0,0,0,0.1368,0,0,0,0,0.0195,0,0.0782,0,0,0,0.0195,0,0,0,0.0195,0.0391,0,0.0195,0.0391,0.0195,0.0195,0,0,0,0,0.0195,0
AT29_FC,0.0488,0.0976,0,0,0.0732,0,0,0.0976,0.0488,0,0.0244,0,0.0244,0.0488,0,0,0.0244,0,0,0,0,0,0.0244,0,0.0244,0.0244,0,0.0244,0,0,0,0,0.0244,0,0.0732,0,0,0,0,0.0488,0.0488,0,0.0244,0,0,0,0.0976,0,0.0244,0.0488,0,0.0732,0,0,0,0,0.0244,0.0244,0,0
AT29_TC,0,0.1155,0.0525,0.042,0.0735,0.021,0.021,0.021,0.042,0.042,0.021,0.0525,0.0945,0.0315,0.021,0.0315,0,0.021,0.063,0.042,0,0.021,0.0315,0.021,0.021,0,0,0.0315,0.042,0.021,0,0.021,0.0735,0.0315,0.063,0.0525,0.0105,0.0105,0.0315,0.1155,0.1365,0.0105,0,0.021,0.021,0.105,0,0.0105,0,0.0315,0.0315,0.0735,0.0105,0,0,0,0.0105,0.021,0.0525,0
AT30_TC,0,0.0831,0.1246,0,0.0623,0.0415,0.0208,0,0.0831,0.0831,0.0831,0.1039,0.2077,0.1662,0.0415,0.0208,0.0208,0,0.0415,0.0208,0.0208,0.0208,0,0,0,0.0623,0,0,0.0208,0.0208,0.0208,0.0415,0.0831,0.1039,0.0831,0.0208,0.0208,0,0,0.1039,0.1662,0.0208,0.0208,0,0.0208,0.0208,0.0208,0,0,0.0208,0.0623,0.0208,0.0415,0.0415,0.0208,0,0.0415,0,0.0623,0
AT31_FC,0.086,0.1433,0.2293,0.0573,0.172,0,0.0287,0.0287,0.1147,0.0573,0.0287,0.086,0.4013,0.1147,0.0287,0.0287,0,0.0287,0.1147,0.0573,0,0.0573,0.0573,0.0573,0.086,0.0287,0,0.0287,0,0.1147,0,0.086,0.1147,0.1147,0,0,0.086,0,0.0573,0.172,0.172,0,0,0.0287,0,0,0.0287,0.0287,0.086,0,0,0.0287,0.0287,0.086,0,0,0.0573,0,0.0287,0.0573
AT31_TC,0,0.0709,0.1774,0,0.0709,0,0.0177,0.0532,0.0709,0.0887,0,0.0177,0,0.0355,0,0,0,0.0177,0.0709,0.0177,0,0,0.0532,0.0355,0,0,0,0.0355,0,0.0355,0,0.0355,0.1596,0.0177,0.0177,0,0.0177,0.0355,0,0.1596,0.0355,0,0,0.0355,0,0.0177,0,0.0177,0,0,0,0.0177,0.0355,0.0177,0,0,0.0355,0,0,0.0177
AT32_TC,0.0422,0.1054,0,0.0105,0.1476,0.0633,0.0633,0.0527,0.1054,0.0527,0.0211,0.232,0.2214,0.0949,0.0316,0.0422,0.0738,0.0316,0.0949,0.0633,0.0105,0,0.0633,0.0211,0.0422,0.0844,0.0211,0.0949,0.0316,0.0633,0.0316,0.0105,0.2214,0.0949,0.2003,0.0316,0,0.0316,0.0316,0.1265,0,0.0316,0.0211,0,0,0.1582,0.0211,0,0,0.0527,0,0.1582,0.0105,0,0.0211,0.0633,0.0211,0,0.0633,0
AT33_TC,0,0.0178,0.1068,0,0.0356,0,0.0178,0,0,0.0178,0,0.0534,0.089,0,0.0356,0,0,0.0178,0.0178,0,0.0178,0.0534,0.0178,0,0,0,0,0,0,0,0,0.0178,0,0,0.0178,0,0,0.0178,0,0,0.0178,0.0178,0,0,0.0356,0.0356,0,0,0.0178,0,0.0178,0.0178,0.0178,0.0178,0,0,0.0178,0,0,0
AT35_FC,0.014,0.1123,0,0.0281,0.0983,0.014,0,0.014,0.0842,0.014,0,0.0842,0,0.0281,0.0562,0.0421,0.014,0,0.1404,0,0.0421,0,0,0,0,0.0702,0.0281,0.0281,0.0983,0.014,0.0281,0.0421,0.337,0,0.1123,0.0562,0,0.014,0.0281,0.1123,0.2668,0.1544,0,0.014,0,0.3089,0,0.014,0.0842,0.0842,0.0421,0.2246,0,0.0562,0,0.0562,0.0421,0.0281,0.0562,0.014
